product_url;product_title;product_price;product_rating;product_review;product_available
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A08937853CD2S2LS9WML9&qualifier=1651255979&id=8587936546074699&widgetName=sp_atf&url=%2FMSI-GV15-144Hz-Gaming-Laptop%2Fdp%2FB09S4NBX1Z%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2MMC2WMSFMH8G%26keywords%3Dnotebook%2Bgamer%26qid%3D1651255979%26s%3Dcomputers-intl-ship%26sprefix%3Dnote%252Ccomputers-intl-ship%252C191%26sr%3D1-1-spons%26psc%3D1;"MSI GV15 15.6"" 144Hz Gaming Laptop: Intel Core i5-11400H GTX 1650 8GB 256GB NVMe SSD, Wi-Fi 6, USB Type-C, Nahimic 3 Audio Immersion, Win 11: Black 11SC-633";$749.99;;;In Stock.
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A04662321AUY3RK5UNY8Z&qualifier=1651255979&id=8587936546074699&widgetName=sp_atf&url=%2FLenovo-ThinkPad-Chromebook-Graphics-20UX001RUS%2Fdp%2FB09FYLQ24P%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2MMC2WMSFMH8G%26keywords%3Dnotebook%2Bgamer%26qid%3D1651255979%26s%3Dcomputers-intl-ship%26sprefix%3Dnote%252Ccomputers-intl-ship%252C191%26sr%3D1-2-spons%26psc%3D1;"Lenovo ThinkPad C13 Yoga Chromebook, AMD Ryzen 5 3500C, 8GB DDR4 RAM, 256GB SSD Storage, AMD Radeon Graphics, 13.3"" FHD (1920 x 1080) Touch Display, Chrome OS, 20UX001RUS, Abyss Blue";$839.00;;;Only 18 left in stock (more on the way).
https://www.amazon.com/MSI-GL66-Gaming-Laptop-i7-11800H/dp/B09127DDVT/ref=sr_1_3?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-3;"MSI Pulse GL66 Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD, Win10, Black (11UGK-001)";$1,229.99;4.6 out of 5 stars;461 ratings;In Stock.
https://www.amazon.com/Acer-Predator-PH315-54-760S-i7-11800H-Keyboard/dp/B092YHJLS6/ref=sr_1_4?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-4;"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 Laptop GPU | 15.6"" Full HD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard";$1,183.83;4.6 out of 5 stars;1,005 ratings;In Stock.
https://www.amazon.com/ASUS-GeForce-i7-11370H-Windows-TUF516PE-AB73/dp/B08XPC3WFQ/ref=sr_1_5?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-5;ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6” 144Hz FHD, GeForce RTX 3050 Ti, Intel Core i7-11370H, 8GB DDR4, 512GB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Eclipse Grey Color, TUF516PE-AB73;$829.99;4.4 out of 5 stars;851 ratings;In Stock.
https://www.amazon.com/Acer-Chromebook-Celeron-Display-CB314-1H-C884/dp/B0858N8CGX/ref=sr_1_6?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-6;"Acer Chromebook 314, Intel Celeron N4000, 14"" Full HD Display, 4GB LPDDR4, 64GB eMMC, Gigabit WiFi, Google Chrome, CB314-1H-C884";$253.06;4.5 out of 5 stars;1,107 ratings;In Stock.
https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN/ref=sr_1_7?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-7;"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard";$761.42;4.6 out of 5 stars;7,532 ratings;In Stock.
https://www.amazon.com/GIGABYTE-AORUS-17G-Anti-Glare-YD-73US345SH/dp/B0996812KP/ref=sr_1_8?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-8;GIGABYTE AORUS 17G YD- 17.3” FHD IPS Anti-Glare 300Hz, Intel Core i7, NVIDIA GeForce RTX 3080 Laptop GPU 8GB GDDR6, 32GB RAM, 512GB SSD, Win10 Home, Gaming Laptop (AORUS 17G YD-73US345SH);$2,049.00;;124 ratings;In Stock.
https://www.amazon.com/Lenovo-Display-Processor-Storage-82JW00BDUS/dp/B09BDGD2TZ/ref=sr_1_9?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-9;"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H, 16GB RAM, 512GB Storage, NVIDIA GeForce RTX 3050Ti, Windows 11 Home, Phantom Blue";$1,009.99;4.5 out of 5 stars;363 ratings;In Stock.
https://www.amazon.com/MSI-Stealth-15M-Gaming-Laptop/dp/B091GGZT1S/ref=sr_1_10?crid=2MMC2WMSFMH8G&keywords=notebook+gamer&qid=1651255979&s=computers-intl-ship&sprefix=note%2Ccomputers-intl-ship%2C191&sr=1-10;"MSI Stealth 15M Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11375H, NVIDIA GeForce RTX 3060, 16GB, 512GB SSD, Thunderbolt 4, WiFi 6, Win10, Carbon Gray (A11UEK-009)";$1,099.99;4.3 out of 5 stars;479 ratings;In Stock.
